datum; celkovy cas; aktualny_cas
2022-10-04T22:59Z;00:02;00:02
2022-10-04T22:59Z;00:06;00:03
2022-10-04T22:59Z;00:09;00:03
2022-10-04T22:59Z;00:16;00:06
2022-10-04T22:59Z;00:20;00:03
2022-10-04T22:59Z;00:24;00:04
2022-10-04T22:59Z;00:27;00:03
2022-10-04T22:59Z;00:31;00:03
2022-10-04T22:59Z;00:35;00:03
2022-10-04T22:59Z;00:38;00:03
2022-10-04T22:59Z;00:43;00:04
2022-10-04T22:59Z;00:48;00:05
2022-10-04T22:59Z;00:52;00:03
2022-10-04T22:59Z;00:56;00:03
2022-10-04T23:00Z;01:00;00:04
2022-10-04T23:00Z;01:04;00:03
2022-10-04T23:00Z;01:09;00:04
2022-10-04T23:00Z;01:13;00:04
2022-10-04T23:00Z;01:18;00:04
2022-10-04T23:00Z;01:22;00:04
2022-10-04T23:00Z;01:26;00:04
2022-10-04T23:00Z;01:31;00:05
2022-10-04T23:00Z;01:36;00:04
2022-10-04T23:00Z;01:41;00:04
